Referencia_anterior_o_contenido,Numeracion_actual,Contenido,Paneles,Parrafo_pie,Referencias_manuscrito,Celda_notebook,Fuente,Verificacion
Figura 1; extracción citada como 1b y coloreado como 1c,Figura 1,Esquema del procedimiento WLNM dirigido,a: división de positivos; b: negativos; c: extracción; d: coloreado y orden; e: vector; f: clasificador,P003,P025/P053: Fig. 1; P055: 1b → 1c (tres menciones); P057: 1c → 1d; P059: 1d; P061: 1e; P063: 1f,No procede,DOCX: word/media/image2.emf; graph2vector_dir_neg.m,PDF interno del EMF inspeccionado; pie aclara que la matriz binaria y el orden focal son esquemáticos y describe la limitación de enmascaramiento.
Figura 2,Figura 2,Ejemplo seleccionado de ClControl2 al 60 %,Matriz única,P008,P029 conserva Fig. 2 y especifica la ejecución ilustrada; Supplementary Table 1 se mantiene,"week-32.ipynb: índice 2, id a36a0f93",/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_roleonly_figure2_clcontrol2_train60_bestfn_local,"Imagen coincide píxel a píxel con el output guardado; experimento 21, semilla 1314098572; fuente auxiliar autorizada."
"Figura 3: comparación, con siete métricas descritas en el texto",Figura 3,Comparación principal de cuatro métricas al 90 %,"ROC-AUC, F1, MCC, Precision",P013,P031: Fig. 3 → Fig. 3 and Supplementary Fig. 7,"week-33.ipynb: índice 2, id 65b4e60f",/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const; comparador: /Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_original_50x290_train90_thresh0p50_legacy_uppertriangular_checkconnfalse_adaptivefalse_Apocrita,Imagen y métricas verificadas; la versión de siete métricas está en la suplementaria 7.
Figura 4: barrido; pie indicaba a–g,Figura 4,Barrido principal con cuatro métricas,a: ROC-AUC; b: F1; c: MCC; d: Precision,P017,P039: Fig. 4 → Fig. 4 and Supplementary Fig. 8; pie a–g → a–d,"week-33.ipynb: índice 3, id a61182cc",/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const,Medianas e intervalo percentil 25–75; paneles comprobados contra la imagen.
Figura 5,Figura 5,Propiedades empíricas y reconstruidas con 60 % de entrenamiento,a: connectance; b: trophic height; c: generality; d: vulnerability,P022,P039 conserva Fig. 5; valores y contrastes actualizados,"week-33.ipynb: índice 4, id f3eec4ae; week-32.ipynb: índice 5, id a600456b",/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const,Medias por red y métrica después de Tukey; pares empíricos correspondientes; p-valores bilaterales sin ajustar.
Supplementary Table 1,Supplementary Table 1,97 especies y masas de ClControl2,"ID, Species name, Mass (mg)",P034; encabezado P040,P029 y pie de Fig. 2 mantienen la referencia,"week-32.ipynb: índice 2, id a36a0f93",/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_roleonly_figure2_clcontrol2_train60_bestfn_local; foodwebs_mat/*ClControl2*.mat,"Orden y 97 masas contrastados; unidad corregida de g a mg, sin cambiar las cantidades."
Supplementary Figure 1,Supplementary Figure 1,Información que se pierde al omitir la dirección,a–b: motivos dirigidos; c–d: proyecciones no dirigidas,P338,P025 conserva Supplementary Fig. 1,No procede,DOCX: word/media/image11.emf,PDF interno inspeccionado; los motivos son isomorfos y las matrices mostradas usan órdenes distintos.
Supplementary Figure 2,Supplementary Figure 2,Ejemplos de no-enlaces poco plausibles por rol,a: red de ejemplo; b: matriz,P343,P025/P068 conservan Supplementary Fig. 2,No procede,DOCX: word/media/image12.emf; sample_neg_dir_neg.m,"PDF interno inspeccionado; muestra ejemplos de basal–basal y top–top, sin representar exhaustivamente las cinco reglas."
Supplementary Figure 3,Supplementary Figure 3,"Validación con k=3, 5 y 10",Siete métricas,P348,P033 conserva Supplementary Fig. 3; P080 precisa particiones fijas y agregación,"week-32.ipynb: índice 6, id 8c6a2ac3",/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const,"Imagen verificada; fuente auxiliar autorizada; medias de folds completos antes de Tukey, mínimo 10/20 repeticiones."
Supplementary Figure 4,Supplementary Figure 4,Métricas predictivas por ecosistema al 90 %,a: ROC-AUC; b: PR-AUC; c: F1; d: MCC; e: Precision; f: Recall; g: TSS,P353,P035 conserva Supplementary Fig. 4,"week-32.ipynb: índice 7, id 26714dfc",/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const,"Imagen, tamaños por ecosistema y estadísticas verificados."
