Document,Paragraph,Original,Revised,Reason,Source
Jorge Stage 2 manuscript - Sep 8 JC.docx,P011,"Food webs are invaluable to understanding the organisation of natural communities and their response to climate disturbances, but their construction is inherently resource intensive and often lead to incomplete sampling and excessive processing. Machine learning has emerged as a potential tool to identifying missing links in empirical food webs; however, their application is currently restricted to predicting a small number of links, or lacks ecological realism. Patterns embedded in network substructures form highly informative learning features when predicting links in social and other complex networks, but their suitability for ecology is yet to be explored. Here, we extended the Weisfeiler-Lehman Neural Machine, which harnesses substructural patterns by encoding nodes based on their organisational roles, to infer trophic links in food webs by preserving the resource to consumer direction of energy transfer and generating negative samples through negative sampling based on trophic roles with hybrid top-up. We evaluated our approach using 290 food webs from across the globe, and found that our method is able to capture missing links with minimal false predictions. Moreover, our approach enables the construction of whole food webs accurately with as little as 60% of the trophic links , with the pseudo food webs exhibiting comparable network properties as the empirical food webs. The rapidly changing climate calls for more innovative and rapid bioassessment, and our approach paves the way for accelerating and simplifying sampling efforts in current biomonitoring regime.  ","Food webs are invaluable to understanding the organisation of natural communities and their response to climate disturbances, but their construction is inherently resource intensive and often lead to incomplete sampling and excessive processing. Machine learning has emerged as a potential tool to identifying missing links in empirical food webs; however, their application is currently restricted to predicting a small number of links, or lacks ecological realism. Patterns embedded in network substructures form highly informative learning features when predicting links in social and other complex networks, but their suitability for ecology is yet to be explored. Here, we extended the Weisfeiler-Lehman Neural Machine, which harnesses substructural patterns by encoding nodes based on their organisational roles, to infer trophic links in food webs by preserving the resource to consumer direction of energy transfer and generating negative samples through negative sampling based on trophic roles with hybrid top-up. We evaluated our approach using 290 food webs from across the globe, and found high precision with moderate recovery of withheld links under the evaluated sampling protocol. Using 60% of the observed trophic links for training produced partial food-web reconstructions, with systematic differences in connectance, mean generality and mean vulnerability relative to empirical webs. The rapidly changing climate calls for more innovative and rapid bioassessment, and our approach paves the way for accelerating and simplifying sampling efforts in current biomonitoring regime.  ",Ajustar las conclusiones a la recuperación parcial y a los contrastes ecológicos verificados.,verified_values/predictive_summary.csv; verified_values/ecological_wilcoxon.csv
Jorge Stage 2 manuscript - Sep 8 JC.docx,P022,"Here, we adopted the Weisfeiler–Lehman Neural Machine22 (WLNM) to infer trophic links by learning the organisational characteristics in the substructures surrounding known links in a food web. These examples comprised observed resource to consumer links as positives and sampled directed non-links as negatives, rather than treating every unobserved pair as a confirmed absence. These known links contain be both observed (positive) and absent (negative) links in the empirical data. A neural network is used to perform link prediction by examining whether the substructural pattern of an undetermined link is closer to that of a positive or negative link. The original WLNM was designed for undirected graphs. Here, we modified the method to retain the resource to consumer direction of energy transfer in food webs, where a directed pair i⟶j represents energy moving from resource i to consumer j. In addition, negative samples were chosen randomly from all absent links in the original WLNM, which would include links that are ecologically implausible in our case. We applied realistic assumptions when generating negative links for model training to ensure ecological realism11,23. We first performed link prediction for a small proportion of links and examine the model’s ability to recover these missing links that may be caused by under-sampling in practice. Secondly, we investigated the minimum amount of empirical data would require constructing whole food webs which can be used reliably for bioassessment. This was achieved by reducing the proportion of links used for training until a balance is reached between the training ratio and model’s performance. We evaluated our approach on 290 food webs from a global dataset by referring to a wide range of accuracy metrics. In the case of constructing food webs from reduced data, we compared key food web properties, such as connectance and mean trophic height, between empirical and pseudo webs.","Here, we adopted the Weisfeiler–Lehman Neural Machine22 (WLNM) to infer trophic links by learning the organisational characteristics in the substructures surrounding known links in a food web. These examples comprised observed resource to consumer links as positives and sampled directed non-links as negatives, rather than treating every unobserved pair as a confirmed absence. A neural network is used to perform link prediction by examining whether the substructural pattern of an undetermined link is closer to that of a positive or negative link. The original WLNM was designed for undirected graphs. Here, we modified the method to retain the resource to consumer direction of energy transfer in food webs, where a directed pair i⟶j represents energy moving from resource i to consumer j. In addition, negative samples were chosen randomly from all absent links in the original WLNM, which would include links that are ecologically implausible in our case. We applied realistic assumptions when generating negative links for model training to favour ecologically less plausible non-links11,23. We first performed link prediction for a small proportion of links and examine the model’s ability to recover these missing links that may be caused by under-sampling in practice. Secondly, we investigated how predictive performance and reconstructed food-web properties changed as the amount of training data was reduced. This was achieved by reducing the proportion of links used for training until a balance is reached between the training ratio and model’s performance. We evaluated our approach on 290 food webs from a global dataset by referring to a wide range of accuracy metrics. In the case of constructing food webs from reduced data, we compared key food web properties, such as connectance and mean trophic height, between empirical and pseudo webs.",Eliminar una frase duplicada que equipara ausencia observada y ausencia confirmada. | Precisar lo que garantizan las reglas de muestreo. | Evitar atribuir una validación de suficiencia mínima que no se realizó.,src/matlab/wlnm_version_runners/wlnm_dir_neg/sample_neg_dir_neg.m:57-70 | src/matlab/wlnm_version_runners/wlnm_dir_neg/sample_neg_dir_neg.m:224-232 | week-33.ipynb cell a61182cc; cell f3eec4ae
Jorge Stage 2 manuscript - Sep 8 JC.docx,P025,"We converted the original WLNM to generate links in food webs from observed data. The basic principle of WLNM is to learn the structural characteristics from a proportion of recorded (positive) and unrecorded (negative) links, whereby the latter is typically any absent links in the network. For a given link, a small subgraph formed around the vertices of the link is extracted and encoded into a fixed-size matrix according to the organisational roles of the nodes within it24. The encoded matrices from the training set are fed into a feed-forward neural network (i.e. a classifier), which uses the matrices to identify local topological features that constitute a positive, as well as a negative link. To perform link prediction between two given nodes, the classifier compares the features extrapolated from then encoded matrix of the substructure formed around them, and determines whether a positive or a negative link should exist22 (Fig. 1, Methods). To facilitate the application of WLNM to our ecological settings, we have made two major modifications. Firstly, food webs were represented as directed resource to consumer energy transfer networks, such that a candidate pair i⟶j denotes energy transfer from resource i to consumer j. The original WLNM was designed for undirected graphs only; therefore, we altered the encoding by retaining the full directed adjacency matrix, rather than collapsing the matrix into an undirected representation, allowing the direction of trophic energy transfer to be preserved (Supplementary Fig. 1). Secondly, the original WLNM uses a naïve strategy to generate negatives whereby randomly sampled unrecorded links are treated equivalently. However, an unobserved pair in a food web can range from an ecologically less plausible non-link to a plausible but unsampled interaction. To reduce this ambiguity, we implemented negative sampling based on trophic roles with hybrid top-up. Species were assigned to basal, intermediate, or top-consumer classes according to whether they acted only as energy sources/resources, only as energy receivers/consumers, or in both roles in the observed directed food web. Preferred negative examples were then sampled from directed non-links matching one of five trophic-role combinations: top consumer ⟶ top consumer, basal ⟶ basal, top consumer ⟶ basal, top consumer ⟶ intermediate, and intermediate ⟶ basal. If this restricted pool did not contain enough candidates to preserve the two negative per positive sampling ratio, all restricted candidates were retained and only the remaining deficit was completed using random valid directed non-links. With the expanded five constraint definition, 207 of the 290 food webs had a sufficient restricted pool, while 83 required the hybrid top-up procedure (Methods, Supplementary Fig. 2). As of the original study the size of the subgraphs is fixed at 10 nodes22 (Methods). ","We converted the original WLNM to generate links in food webs from observed data. The basic principle of WLNM is to learn the structural characteristics from a proportion of recorded (positive) and unrecorded (negative) links, whereby the latter is typically any absent links in the network. For a given link, a small subgraph formed around the vertices of the link is extracted and encoded into a fixed-size matrix according to the organisational roles of the nodes within it24. The encoded matrices from the training set are fed into a feed-forward neural network (i.e. a classifier), which uses the matrices to identify local topological features that constitute a positive, as well as a negative link. To perform link prediction between two given nodes, the classifier compares the features extrapolated from then encoded matrix of the substructure formed around them, and determines whether a positive or a negative link should exist22 (Fig. 1, Methods). To facilitate the application of WLNM to our ecological settings, we have made two major modifications. Firstly, food webs were represented as directed resource to consumer energy transfer networks, such that a candidate pair i⟶j denotes energy transfer from resource i to consumer j. The original WLNM was designed for undirected graphs only; therefore, we altered the encoding by retaining the full directed adjacency matrix, rather than collapsing the matrix into an undirected representation, allowing the direction of trophic energy transfer to be preserved (Supplementary Fig. 1). Secondly, the original WLNM uses a naïve strategy to generate negatives whereby randomly sampled unrecorded links are treated equivalently. However, an unobserved pair in a food web can range from an ecologically less plausible non-link to a plausible but unsampled interaction. To reduce this ambiguity, we implemented negative sampling based on trophic roles with hybrid top-up. Species were assigned to basal, top-consumer, or intermediate classes according to whether they acted only as energy sources/resources, only as energy receivers/consumers, or in both roles in the observed directed food web. Preferred negative examples were then sampled from directed non-links matching one of five trophic-role combinations: top consumer ⟶ top consumer, basal ⟶ basal, top consumer ⟶ basal, top consumer ⟶ intermediate, and intermediate ⟶ basal. If this restricted pool did not contain enough candidates to preserve the two negative per positive sampling ratio, all restricted candidates were retained and only the remaining deficit was completed using random valid directed non-links. With the expanded five constraint definition, 207 of the 290 food webs had a sufficient restricted pool, while 83 required the hybrid top-up procedure (Methods, Supplementary Fig. 2). As of the original study the size of the subgraphs is fixed at 10 nodes22 (Methods). ",Alinear el orden de las clases con sus definiciones.,src/matlab/wlnm_version_runners/wlnm_dir_neg/sample_neg_dir_neg.m:200-232
Jorge Stage 2 manuscript - Sep 8 JC.docx,P027,"We evaluated our approach across 290 empirical food webs spanning aquatic and terrestrial ecosystems24. For each food web, the number of observed trophic links are coupled with twice the number of negative links22 generated using the negative sampling procedure based on trophic roles with hybrid top-up (Methods). We assigned 90% of both the positive and negative links for model training, and the model performance was quantified by its ability in recovering the 10% positive and negative links that have been set aside. ","We evaluated our approach across 290 empirical food webs spanning aquatic and terrestrial ecosystems31. For each food web, the number of observed trophic links are coupled with twice the number of negative links22 generated using the negative sampling procedure based on trophic roles with hybrid top-up (Methods). We assigned approximately 90% of both the positive and negative links for model training, and the model performance was quantified by its ability in recovering the 10% positive and negative links that have been set aside. ",Corregir la referencia de la base de datos a la referencia ya existente de Brose et al. | Reconocer el redondeo a cantidades enteras de enlaces.,References 24 and 31 in original manuscript; https://www.nature.com/articles/s41559-019-0899-x | src/matlab/wlnm_version_runners/wlnm_dir_neg/DivideNet_dir_neg.m:266; sample_neg_dir_neg.m:235-256
Jorge Stage 2 manuscript - Sep 8 JC.docx,P029,"Across the 290 food webs, the model showed a conservative error profile, producing high precision and very few false positive links while recovering a moderate proportion of withheld trophic links. In the food web illustrated in Fig. 2, across 50 runs at the 90% training ratio, the model recovered on average 38.8 true positive links and generated only 0.6 false positives, while leaving 38.2 withheld observed links unrecovered as false negatives and correctly identifying 153.4 true negatives. The corresponding metric values were ROC-AUC = 0.971, PR-AUC = 0.585, F1 = 0.664, MCC = 0.626, precision = 0.985, recall = 0.504 and TSS = 0.501. This indicates that most predicted links were reliable and that the model generated very few false positives, but recall was moderate, so some withheld observed links were not recovered. The few false positives should therefore be interpreted cautiously, as several may correspond to ecologically plausible but unrecorded interactions under the resource to consumer energy-transfer convention. We found that our approach is accurate in identifying majority of the holdout interactions that have been omitted in the training, achieving a number of high true positive predictions (Fig. 2 and Supplementary Table 1). The number of false negatives which are holdout links that have been missed by the model (i.e. false negatives) is very low. In addition, the number of links that did not exist but were generated by the model (i.e. false positives) is also extremely low. However, it is worth noting that many of these false positive links appear to be logical in the ecological context, as they are typically within the existing diet range of a consumer (Fig. 2), which could potentially represent interactions that may have been missed in the original dataset11. ","Across the 290 food webs, the model showed a conservative error profile, producing high precision while recovering a moderate proportion of withheld trophic links. The food web illustrated in Fig. 2 is a single selected run at the 60% training ratio, with 460 observed links used for training, 284 true positives, 8 false positives, 24 false negatives and 608 true negatives. Its metric values were ROC-AUC = 0.990, PR-AUC = 0.652, F1 = 0.947, MCC = 0.922, precision = 0.973, recall = 0.922 and TSS = 0.909. This run was selected for illustration from 50 evaluated runs by minimising false negatives, with ties resolved by fewer false positives, higher F1 and higher MCC. It therefore illustrates favourable performance for this food web and is not an estimate of average performance across runs or food webs. Species identities and masses are listed in Supplementary Table 1. Some false positive links may be ecologically plausible but unrecorded interactions; their presence would require independent ecological verification11. ",Sustituir las estadísticas de un escenario distinto por las de la ejecución ilustrada y declarar su selección.,week-32.ipynb cell a36a0f93; authorised Figure 2 RUN_MANIFEST.txt; verified_values/figure2.csv
Jorge Stage 2 manuscript - Sep 8 JC.docx,P031,"We further evaluated our approach by referring to a comprehensive set of commonly used metrics, including Area Under the Receiver Operating Characteristics Curve (ROC-AUC), Area Under the Precision-Recall Curve (PR-AUC), F1, Matthews Correlation Coefficient (MCC), precision, recall, and true skill statistic (TSS), which capture different aspects of performance (Methods), and compared with the original WLNM. At the 90% training ratio across 290 food webs, our WLNM directed version achieved ROC-AUC = 0.874 ± 0.006, PR-AUC = 0.505 ± 0.010, F1 = 0.659 ± 0.013, MCC = 0.615 ± 0.013, precision = 0.889 ± 0.008, recall = 0.579 ± 0.015 and TSS = 0.541 ± 0.014 (Fig. 3). The updated model has a conservative error profile: high precision, low false-positive rate, moderate recall and improved balanced performance in MCC and TSS. It is therefore strongest as a reliable link-recovery tool for prioritising plausible missing trophic interactions. Previous studies based on random forest and a stacked model that uses both species attributes and structural information reported comparable model performance (TSS = 0.53-0.7723, and ROC-AUC = 0.95 ± 0.06 and PR-AUC = 0.68 ± 0.2025 respectively), but their evaluations are restricted to the very limited metrics that are reported here only, unlike the comprehensive sets of metrics we have illustrated here. Moreover, metrics, such as ROC-AUC, have been found to be uninformative in the context of ecology. This is due to the fact that food webs are usually sparse with a connectance of about 20%, which means correct predictions on a larger number of negative links would disproportionally over-estimate the overall performance11.","We further evaluated our approach by referring to a comprehensive set of commonly used metrics, including Area Under the Receiver Operating Characteristics Curve (ROC-AUC), Area Under the Precision-Recall Curve (PR-AUC), F1, Matthews Correlation Coefficient (MCC), precision, recall, and true skill statistic (TSS), which capture different aspects of performance (Methods), and compared with the original WLNM. At the 90% training ratio across 290 food webs, our WLNM directed version achieved ROC-AUC = 0.879 ± 0.007, PR-AUC = 0.504 ± 0.010, F1 = 0.665 ± 0.013, MCC = 0.621 ± 0.013, precision = 0.904 ± 0.009, recall = 0.583 ± 0.015 and TSS = 0.544 ± 0.015 (means ± standard errors across food-web means after Tukey filtering; Fig. 3 and Supplementary Fig. 7). The updated model has a conservative error profile: high precision, low false-positive rate, moderate recall and improved balanced performance in MCC and TSS. Compared with the original WLNM, mean ROC-AUC increased from 0.809 to 0.879, MCC from 0.499 to 0.621 and precision from 0.671 to 0.904; PR-AUC and recall were lower (0.504 versus 0.555 and 0.583 versus 0.603, respectively). These comparisons describe performance under the respective directed and undirected evaluation protocols. Previous studies based on random forest and a stacked model using species attributes and structural information reported TSS = 0.53–0.7723, and ROC-AUC = 0.95 ± 0.06 and PR-AUC = 0.68 ± 0.20 (mean ± standard deviation)25, respectively. Differences in negative sampling and evaluation protocols preclude direct numerical ranking against these published results. ROC-AUC measures ranking across thresholds and was interpreted alongside PR-AUC and threshold-based metrics. Precision and PR-AUC depend on the evaluated class balance; our test sets used a target of two sampled negatives per positive, rather than all unobserved pairs11.","Actualizar las siete métricas posteriores a Tukey y distinguir media y error estándar. | Describir las mejoras y las reducciones verificadas, evitando una superioridad general. | Corregir la explicación sobre desequilibrio de clases y el alcance de la evaluación. | Distinguir la desviación estándar publicada de nuestros errores estándar y limitar la comparación entre estudios.",week-33.ipynb cell 65b4e60f; week-32.ipynb cell 5ee1bf7d; verified_values/predictive_summary.csv | verified_values/original_summary.csv; verified_values/predictive_summary.csv | src/matlab/wlnm_version_runners/wlnm_dir_neg/WLNM_dir_neg.m:150-170; sample_neg_dir_neg.m:72-149 | https://www.nature.com/articles/s41467-026-68769-7; https://opus.lib.uts.edu.au/handle/10453/179160
Jorge Stage 2 manuscript - Sep 8 JC.docx,P033,"To test the robustness of our model, k-fold cross-validation, a common assessment procedure in machine learning was used (Methods). Here, the observed links were divided into k non-overlapping sets, whereby k-1 sets were used for training and the remaining set was retained for testing. For each fold and repetition, negative examples were generated independently using the same negative-sampling procedure based on trophic roles with hybrid top-up, so that cross-validation evaluated both link recovery and the stability of the negative-sampling design. We adopted 3-, 5- and 10-fold cross-validation. Predictive performance was broadly stable across fold settings. For 3-fold cross-validation, the model achieved ROC-AUC = 0.847 ± 0.006, PR-AUC = 0.510 ± 0.009, F1 = 0.650 ± 0.011, MCC = 0.576 ± 0.012, precision = 0.845 ± 0.009, recall = 0.579 ± 0.013 and TSS = 0.513 ± 0.013. For 5-fold cross-validation, performance increased slightly to ROC-AUC = 0.858 ± 0.006, PR-AUC = 0.527 ± 0.009, F1 = 0.655 ± 0.012, MCC = 0.594 ± 0.012, precision = 0.868 ± 0.008, recall = 0.577 ± 0.013 and TSS = 0.525 ± 0.013. For 10-fold cross-validation, values were ROC-AUC = 0.863 ± 0.007, PR-AUC = 0.521 ± 0.009, F1 = 0.648 ± 0.012, MCC = 0.597 ± 0.012, precision = 0.869 ± 0.009, recall = 0.571 ± 0.014 and TSS = 0.526 ± 0.014. Precision, MCC and TSS therefore improved slightly from 3-fold to 5-/10-fold settings, while recall remained similar or slightly lower (Supplementary Fig. 3).","To test the robustness of our model, k-fold cross-validation, a common assessment procedure in machine learning was used (Methods). Here, the observed links were divided into k non-overlapping sets, whereby k-1 sets were used for training and the remaining set was retained for testing. For each fold and repetition, negative examples were generated independently using the same negative-sampling procedure based on trophic roles with hybrid top-up, so that cross-validation evaluated both link recovery and the stability of the negative-sampling design. We adopted 3-, 5- and 10-fold cross-validation. Predictive performance was broadly stable across fold settings. For 3-fold cross-validation, the model achieved ROC-AUC = 0.848 ± 0.006, PR-AUC = 0.508 ± 0.010, F1 = 0.651 ± 0.011, MCC = 0.577 ± 0.012, precision = 0.846 ± 0.009, recall = 0.578 ± 0.013 and TSS = 0.513 ± 0.013. For 5-fold cross-validation, performance increased slightly to ROC-AUC = 0.858 ± 0.006, PR-AUC = 0.527 ± 0.009, F1 = 0.655 ± 0.012, MCC = 0.594 ± 0.012, precision = 0.869 ± 0.008, recall = 0.576 ± 0.013 and TSS = 0.525 ± 0.013. For 10-fold cross-validation, values were ROC-AUC = 0.863 ± 0.007, PR-AUC = 0.521 ± 0.009, F1 = 0.648 ± 0.012, MCC = 0.597 ± 0.012, precision = 0.870 ± 0.009, recall = 0.571 ± 0.014 and TSS = 0.526 ± 0.014. Precision, MCC and TSS therefore improved slightly from 3-fold to 5-/10-fold settings, while recall remained similar or slightly lower (Supplementary Fig. 3).",Actualizar medias y errores estándar de la validación cruzada después de Tukey.,week-32.ipynb cell 8c6a2ac3; verified_values/cv_summary.csv
Jorge Stage 2 manuscript - Sep 8 JC.docx,P035,"The food webs in the dataset spans over 5 ecosystem types and we examine if the model performance is altered by the biome. At the 90% training ratio, lakes (n = 55) showed the strongest overall balanced performance, with ROC-AUC = 0.973 ± 0.006, PR-AUC = 0.486 ± 0.029, F1 = 0.797 ± 0.028, MCC = 0.778 ± 0.028, precision = 0.948 ± 0.014, recall = 0.742 ± 0.034 and TSS = 0.727 ± 0.034. Streams (n = 28) showed the weakest F1, MCC, recall and TSS, although precision remained high: ROC-AUC = 0.869 ± 0.026, PR-AUC = 0.578 ± 0.031, F1 = 0.445 ± 0.053, MCC = 0.434 ± 0.051, precision = 0.841 ± 0.048, recall = 0.371 ± 0.059 and TSS = 0.332 ± 0.056. Marine food webs (n = 134) achieved ROC-AUC = 0.852 ± 0.009, PR-AUC = 0.441 ± 0.013, F1 = 0.630 ± 0.018, MCC = 0.585 ± 0.017, precision = 0.881 ± 0.012, recall = 0.549 ± 0.020 and TSS = 0.505 ± 0.020. Terrestrial aboveground food webs (n = 21) achieved ROC-AUC = 0.850 ± 0.034, PR-AUC = 0.547 ± 0.014, F1 = 0.612 ± 0.040, MCC = 0.565 ± 0.041, precision = 0.891 ± 0.024, recall = 0.505 ± 0.047 and TSS = 0.471 ± 0.047. Terrestrial belowground food webs (n = 52) had the highest PR-AUC and strong threshold-based performance, with ROC-AUC = 0.837 ± 0.006, PR-AUC = 0.634 ± 0.013, F1 = 0.722 ± 0.010, MCC = 0.638 ± 0.010, precision = 0.872 ± 0.009, recall = 0.626 ± 0.013 and TSS = 0.577 ± 0.012 (Supplementary Fig. 4). Overall, precision remained high across ecosystem types, while recall and balanced metrics varied more strongly among biomes.","The food webs in the dataset spans over 5 ecosystem types and we examine if the model performance is altered by the biome. At the 90% training ratio, lakes (n = 55) showed the strongest overall balanced performance, with ROC-AUC = 0.979 ± 0.006, PR-AUC = 0.479 ± 0.031, F1 = 0.808 ± 0.028, MCC = 0.786 ± 0.029, precision = 0.966 ± 0.014, recall = 0.751 ± 0.035 and TSS = 0.735 ± 0.036. Streams (n = 28) showed the weakest F1, MCC, recall and TSS, although precision remained high: ROC-AUC = 0.876 ± 0.026, PR-AUC = 0.587 ± 0.033, F1 = 0.443 ± 0.056, MCC = 0.436 ± 0.053, precision = 0.856 ± 0.055, recall = 0.373 ± 0.063 and TSS = 0.331 ± 0.059. Marine food webs (n = 134) achieved ROC-AUC = 0.858 ± 0.010, PR-AUC = 0.438 ± 0.013, F1 = 0.639 ± 0.019, MCC = 0.593 ± 0.018, precision = 0.901 ± 0.013, recall = 0.553 ± 0.021 and TSS = 0.509 ± 0.020. Terrestrial aboveground food webs (n = 21) achieved ROC-AUC = 0.853 ± 0.034, PR-AUC = 0.547 ± 0.014, F1 = 0.615 ± 0.042, MCC = 0.566 ± 0.041, precision = 0.900 ± 0.025, recall = 0.505 ± 0.048 and TSS = 0.472 ± 0.048. Terrestrial belowground food webs (n = 52) had the highest PR-AUC and strong threshold-based performance, with ROC-AUC = 0.838 ± 0.006, PR-AUC = 0.635 ± 0.014, F1 = 0.723 ± 0.010, MCC = 0.639 ± 0.010, precision = 0.873 ± 0.009, recall = 0.627 ± 0.013 and TSS = 0.577 ± 0.012 (Supplementary Fig. 4). Overall, precision remained high across ecosystem types, while recall and balanced metrics varied more strongly among biomes.",Actualizar estadísticas por ecosistema con medias de ejecuciones retenidas. | Mantener la separación entre las frases de resultados por ecosistema tras actualizar los valores.,week-32.ipynb cell 26714dfc; verified_values/ecosystem_summary.csv | verified_values/ecosystem_summary.csv
Jorge Stage 2 manuscript - Sep 8 JC.docx,P037,"Food webs typically small in size compared to other complex networks, and previous studies have indicated that prediction performance tends to be increase with network size due to more availability of data11,13. We examined if our model performance is affected by food web size, and found that, unlike previous studies25,26, our model’s ability in generating correct links is generally maintained across all webs regardless of their size, indicating weak effects that explain little variation in performance, as shown by low R2 (Supplementary Fig. 5 and 6). Therefore, rather than concluding that food-web size or connectance have no effect, we interpret these relationships as weak dependencies: model performance is broadly maintained across the observed range of network sizes and connectance values, but minor metric-specific trends remain possible.","Food webs typically small in size compared to other complex networks, and previous studies have indicated that prediction performance tends to be increase with network size due to more availability of data11,13. We examined if our model performance is affected by food web size, and found that, unlike previous studies25,26, our model’s ability in generating correct links is generally maintained across all webs regardless of their size, indicating weak effects that explain little variation in performance, as shown by low R2 (Supplementary Figs. 5 and 6). Therefore, rather than concluding that food-web size or connectance have no effect, we interpret these relationships as weak dependencies: model performance is broadly maintained across the observed range of network sizes and connectance values, but metric-specific trends were detected. The strongest size association was a decline in ROC-AUC with node count (R² = 0.1134, F₁,₂₈₈ = 36.8364, p < 0.0001). Connectance showed a weak negative association with precision (R² = 0.0459, F₁,₂₈₈ = 13.8700, p = 0.0002), while the other connectance associations were not significant.",Actualizar y verificar las referencias conjuntas a figuras suplementarias. | Añadir los resultados exactos que sustentan la interpretación de las regresiones.,Tables and Figures: Supplementary Figures 5 and 6 | week-32.ipynb cells 8c81ac4d and aad4b23a; verified_values/regressions.csv
Jorge Stage 2 manuscript - Sep 8 JC.docx,P039,"We investigated how well our model is able to construct whole food webs from limited data. To achieve this, we varied the training ratio from 10% to 90% of the observed trophic links with an increment of 10%. At each training ratio, the selected proportion of observed links was used as positive training data, while the remaining observed links were withheld for evaluation. For each training ratio and food web, negative examples were sampled using the same negative-sampling procedure based on trophic roles with hybrid top-up, preserving the two negative per positive ratio while prioritising ecologically informed directed non-links whenever available. The model was then trained and evaluated separately for each food web and training ratio. This procedure was repeated 50 times per food web, and scores were averaged within each food web. Performance increased strongly from 10% to approximately 40–60% training data and then largely plateaued (Fig. 4). The clearest improvements from 10% to 90% training data were observed for ROC-AUC (0.733 to 0.874), precision (0.662 to 0.889), MCC (0.393 to 0.615) and TSS (0.344 to 0.541), whereas recall increased more moderately (0.432 to 0.579) and PR-AUC remained comparatively stable. Because the largest gains occurred before 60%, we evaluated whether pseudo-webs reconstructed from 60% training data reproduced empirical food-web properties. After Tukey outlier filtering, pseudo-webs broadly reproduced empirical network structure, but with systematic deviations: connectance was slightly lower than in empirical webs (-11.30%), mean trophic height was slightly higher (+5.40%), and both mean generality and mean vulnerability were lower (-7.33% each) (Fig. 5). Together, these results show that the pseudo food webs are accurate in inferring individual trophic links, as well as reproducing key network-level properties of the empirical food webs.","We investigated how well our model is able to reconstruct food webs from limited data. To achieve this, we varied the training ratio from 10% to 90% of the observed trophic links with an increment of 10%. At each training ratio, the selected proportion of observed links was used as positive training data, while the remaining observed links were withheld for evaluation. For each training ratio and food web, negative examples were sampled using the same negative-sampling procedure based on trophic roles with hybrid top-up, preserving the two negative per positive ratio while prioritising ecologically informed directed non-links whenever available. The model was then trained and evaluated separately for each food web and training ratio. This procedure was repeated 50 times per food web, and scores were filtered using Tukey’s 1.5×IQR rule separately for each food web, training ratio and metric, then averaged over retained runs. Most metrics improved most strongly between 10% and approximately 40–60% training data, with smaller subsequent changes (Fig. 4 and Supplementary Fig. 8). Across-food-web mean improvements from 10% to 90% training data were observed for ROC-AUC (0.736 to 0.879), precision (0.662 to 0.904), MCC (0.393 to 0.621) and TSS (0.343 to 0.544), whereas recall increased more moderately (0.429 to 0.583) and PR-AUC remained comparatively stable. Because the largest gains occurred before 60%, we evaluated whether pseudo-webs reconstructed from 60% training data reproduced empirical food-web properties. After Tukey outlier filtering, reconstructed webs showed systematic deviations from empirical properties: the average within-web relative differences were −11.30% for connectance, +4.61% for mean trophic height, −7.33% for mean generality and −7.33% for mean vulnerability (Fig. 5). Two-sided paired Wilcoxon signed-rank tests across food webs detected differences in connectance (W = 4857, p = 6.43 × 10⁻³⁰, rank-biserial r = −0.770), mean generality (W = 7430, p = 1.15 × 10⁻²¹, r = −0.648) and mean vulnerability (W = 7317, p = 5.35 × 10⁻²², r = −0.653). The corresponding median pseudo-minus-empirical differences were −0.01274, −0.49999 and −0.35537. Mean trophic height showed no significant global difference (W = 18499, p = 0.1026, r = 0.111; median difference = +0.00662), which does not establish equivalence. Within ecosystems, connectance differed in all five ecosystem types; mean trophic height differed in lakes, streams and terrestrial aboveground webs, and mean generality differed in all except terrestrial belowground webs. Mean vulnerability differed in all five ecosystem types. These comparisons indicate that reliable predictions of individual links do not by themselves establish complete recovery of empirical food-web structure. ","Precisar el objetivo sin implicar recuperación completa. | Hacer explícito el procesamiento utilizado para las figuras. | Incluir la figura suplementaria que contiene las siete métricas y moderar la afirmación de meseta. | Actualizar extremos del barrido de entrenamiento. | Distinguir los promedios del texto de las medianas representadas. | Añadir los contrastes pareados y tamaños del efecto, corregir altura trófica y limitar las conclusiones.",src/matlab/wlnm_version_runners/wlnm_dir_neg/WLNM_dir_neg.m:199-245 | docs/stats/apply_wlnm_tukey_retention.py:606-730 | week-33.ipynb cell a61182cc; week-32.ipynb cell 2651cffd | verified_values/predictive_summary.csv | verified_values/predictive_summary.csv; week-33.ipynb cell a61182cc | week-33.ipynb cell f3eec4ae; verified_values/ecological_wilcoxon.csv; differences pseudo minus empirical; unadjusted p-values
