Processing dataset: Dempsters Stream_tax_mass
    "Processing with K …"    "10"    " using strategy: "    "high2low"

    "Experiment "    "1"    " (strategy: "    "high2low"    ") — Running WLNM..."

[sample_neg] Final link counts:
    Train Positive: 772
    Train Negative: 1544
    Test  Positive: 193
    Test  Negative: 386
Encoding 1608 subgraphs (K = 10)...
[WARN] Link (13,5) triggered large expansion: 38 nodes
[WARN] Link (37,33) triggered large expansion: 38 nodes
[WARN] Link (58,33) triggered large expansion: 34 nodes
[WARN] Link (62,33) triggered large expansion: 38 nodes
[WARN] Link (67,33) triggered large expansion: 35 nodes
[WARN] Link (81,33) triggered large expansion: 37 nodes
[WARN] Link (90,33) triggered large expansion: 42 nodes
[WARN] Link (100,33) triggered large expansion: 40 nodes
[WARN] Link (107,33) triggered large expansion: 47 nodes
[WARN] Link (2,34) triggered large expansion: 36 nodes
[WARN] Link (28,34) triggered large expansion: 39 nodes
[WARN] Link (30,34) triggered large expansion: 38 nodes
[WARN] Link (36,34) triggered large expansion: 33 nodes
[WARN] Link (41,34) triggered large expansion: 38 nodes
[WARN] Link (46,34) triggered large expansion: 33 nodes
[WARN] Link (62,34) triggered large expansion: 34 nodes
[WARN] Link (90,34) triggered large expansion: 38 nodes
[WARN] Link (99,34) triggered large expansion: 34 nodes
[WARN] Link (107,34) triggered large expansion: 43 nodes
[WARN] Link (2,47) triggered large expansion: 40 nodes
[WARN] Link (28,47) triggered large expansion: 43 nodes
[WARN] Link (30,47) triggered large expansion: 42 nodes
[WARN] Link (31,47) triggered large expansion: 38 nodes
[WARN] Link (36,47) triggered large expansion: 37 nodes
[WARN] Link (41,47) triggered large expansion: 42 nodes
[WARN] Link (46,47) triggered large expansion: 37 nodes
[WARN] Link (58,47) triggered large expansion: 34 nodes
[WARN] Link (59,47) triggered large expansion: 34 nodes
[WARN] Link (62,47) triggered large expansion: 38 nodes
[WARN] Link (63,47) triggered large expansion: 31 nodes
[WARN] Link (67,47) triggered large expansion: 35 nodes
[WARN] Link (81,47) triggered large expansion: 37 nodes
[WARN] Link (90,47) triggered large expansion: 42 nodes
[WARN] Link (2,48) triggered large expansion: 42 nodes
[WARN] Link (18,48) triggered large expansion: 45 nodes
[WARN] Link (24,48) triggered large expansion: 38 nodes
[WARN] Link (28,48) triggered large expansion: 45 nodes
[WARN] Link (30,48) triggered large expansion: 44 nodes
[WARN] Link (35,48) triggered large expansion: 36 nodes
[WARN] Link (36,48) triggered large expansion: 39 nodes
[WARN] Link (41,48) triggered large expansion: 44 nodes
[WARN] Link (58,48) triggered large expansion: 36 nodes
[WARN] Link (59,48) triggered large expansion: 36 nodes
[WARN] Link (62,48) triggered large expansion: 40 nodes
[WARN] Link (63,48) triggered large expansion: 33 nodes
[WARN] Link (67,48) triggered large expansion: 37 nodes
[WARN] Link (81,48) triggered large expansion: 39 nodes
[WARN] Link (97,48) triggered large expansion: 33 nodes
[WARN] Link (99,48) triggered large expansion: 40 nodes
[WARN] Link (100,48) triggered large expansion: 42 nodes
[WARN] Link (107,48) triggered large expansion: 49 nodes
[WARN] Link (2,49) triggered large expansion: 32 nodes
[WARN] Link (18,49) triggered large expansion: 35 nodes
[WARN] Link (28,49) triggered large expansion: 35 nodes
[WARN] Link (30,49) triggered large expansion: 34 nodes
[WARN] Link (90,49) triggered large expansion: 34 nodes
[WARN] Link (100,49) triggered large expansion: 32 nodes
[WARN] Link (1,50) triggered large expansion: 51 nodes
[WARN] Link (2,50) triggered large expansion: 54 nodes
[WARN] Link (18,50) triggered large expansion: 57 nodes
[WARN] Link (23,50) triggered large expansion: 38 nodes
[WARN] Link (24,50) triggered large expansion: 50 nodes
[WARN] Link (25,50) triggered large expansion: 40 nodes
[WARN] Link (27,50) triggered large expansion: 42 nodes
[WARN] Link (28,50) triggered large expansion: 56 nodes
[WARN] Link (29,50) triggered large expansion: 45 nodes
[WARN] Link (30,50) triggered large expansion: 55 nodes
[WARN] Link (31,50) triggered large expansion: 52 nodes
[WARN] Link (32,50) triggered large expansion: 43 nodes
[WARN] Link (34,50) triggered large expansion: 41 nodes
[WARN] Link (35,50) triggered large expansion: 48 nodes
[WARN] Link (36,50) triggered large expansion: 50 nodes
[WARN] Link (38,50) triggered large expansion: 38 nodes
[WARN] Link (41,50) triggered large expansion: 54 nodes
[WARN] Link (42,50) triggered large expansion: 48 nodes
[WARN] Link (46,50) triggered large expansion: 50 nodes
[WARN] Link (58,50) triggered large expansion: 48 nodes
[WARN] Link (59,50) triggered large expansion: 49 nodes
[WARN] Link (62,50) triggered large expansion: 51 nodes
[WARN] Link (63,50) triggered large expansion: 45 nodes
[WARN] Link (64,50) triggered large expansion: 40 nodes
[WARN] Link (67,50) triggered large expansion: 50 nodes
[WARN] Link (68,50) triggered large expansion: 45 nodes
[WARN] Link (79,50) triggered large expansion: 43 nodes
[WARN] Link (81,50) triggered large expansion: 51 nodes
[WARN] Link (91,50) triggered large expansion: 43 nodes
[WARN] Link (97,50) triggered large expansion: 46 nodes
[WARN] Link (99,50) triggered large expansion: 51 nodes
[WARN] Link (100,50) triggered large expansion: 54 nodes
[WARN] Link (107,50) triggered large expansion: 60 nodes
[WARN] Link (1,51) triggered large expansion: 36 nodes
[WARN] Link (2,51) triggered large expansion: 38 nodes
[WARN] Link (18,51) triggered large expansion: 41 nodes
[WARN] Link (28,51) triggered large expansion: 41 nodes
[WARN] Link (30,51) triggered large expansion: 40 nodes
[WARN] Link (31,51) triggered large expansion: 36 nodes
[WARN] Link (36,51) triggered large expansion: 35 nodes
[WARN] Link (41,51) triggered large expansion: 40 nodes
[WARN] Link (42,51) triggered large expansion: 32 nodes
[WARN] Link (46,51) triggered large expansion: 35 nodes
Progress: 20% – Elapsed: 0.1s
Encoding link 320 of 1608: (46,51)
[WARN] Link (67,51) triggered large expansion: 33 nodes
[WARN] Link (99,51) triggered large expansion: 36 nodes
[WARN] Link (107,51) triggered large expansion: 45 nodes
[WARN] Link (2,56) triggered large expansion: 33 nodes
[WARN] Link (18,56) triggered large expansion: 36 nodes
[WARN] Link (28,56) triggered large expansion: 36 nodes
[WARN] Link (30,56) triggered large expansion: 35 nodes
[WARN] Link (37,56) triggered large expansion: 31 nodes
[WARN] Link (99,56) triggered large expansion: 31 nodes
[WARN] Link (100,56) triggered large expansion: 33 nodes
[WARN] Link (8,57) triggered large expansion: 35 nodes
[WARN] Link (2,61) triggered large expansion: 33 nodes
[WARN] Link (18,61) triggered large expansion: 36 nodes
[WARN] Link (28,61) triggered large expansion: 36 nodes
[WARN] Link (30,61) triggered large expansion: 35 nodes
[WARN] Link (37,61) triggered large expansion: 31 nodes
[WARN] Link (41,61) triggered large expansion: 35 nodes
[WARN] Link (100,61) triggered large expansion: 33 nodes
[WARN] Link (107,61) triggered large expansion: 40 nodes
[WARN] Link (1,66) triggered large expansion: 44 nodes
[WARN] Link (18,66) triggered large expansion: 49 nodes
[WARN] Link (24,66) triggered large expansion: 42 nodes
[WARN] Link (25,66) triggered large expansion: 31 nodes
[WARN] Link (27,66) triggered large expansion: 33 nodes
[WARN] Link (28,66) triggered large expansion: 48 nodes
[WARN] Link (30,66) triggered large expansion: 47 nodes
[WARN] Link (31,66) triggered large expansion: 43 nodes
[WARN] Link (36,66) triggered large expansion: 42 nodes
[WARN] Link (37,66) triggered large expansion: 44 nodes
[WARN] Link (46,66) triggered large expansion: 42 nodes
[WARN] Link (58,66) triggered large expansion: 39 nodes
[WARN] Link (60,66) triggered large expansion: 33 nodes
[WARN] Link (62,66) triggered large expansion: 43 nodes
[WARN] Link (63,66) triggered large expansion: 36 nodes
[WARN] Link (64,66) triggered large expansion: 32 nodes
[WARN] Link (67,66) triggered large expansion: 40 nodes
[WARN] Link (81,66) triggered large expansion: 42 nodes
[WARN] Link (97,66) triggered large expansion: 37 nodes
[WARN] Link (99,66) triggered large expansion: 44 nodes
[WARN] Link (100,66) triggered large expansion: 46 nodes
[WARN] Link (107,66) triggered large expansion: 53 nodes
[WARN] Link (1,70) triggered large expansion: 33 nodes
[WARN] Link (2,70) triggered large expansion: 35 nodes
[WARN] Link (18,70) triggered large expansion: 38 nodes
[WARN] Link (28,70) triggered large expansion: 38 nodes
[WARN] Link (30,70) triggered large expansion: 37 nodes
[WARN] Link (36,70) triggered large expansion: 32 nodes
[WARN] Link (41,70) triggered large expansion: 37 nodes
[WARN] Link (46,70) triggered large expansion: 32 nodes
[WARN] Link (99,70) triggered large expansion: 33 nodes
[WARN] Link (107,70) triggered large expansion: 42 nodes
[WARN] Link (1,71) triggered large expansion: 40 nodes
[WARN] Link (18,71) triggered large expansion: 45 nodes
[WARN] Link (24,71) triggered large expansion: 38 nodes
[WARN] Link (28,71) triggered large expansion: 45 nodes
[WARN] Link (30,71) triggered large expansion: 44 nodes
[WARN] Link (31,71) triggered large expansion: 40 nodes
[WARN] Link (35,71) triggered large expansion: 36 nodes
[WARN] Link (41,71) triggered large expansion: 44 nodes
[WARN] Link (42,71) triggered large expansion: 36 nodes
[WARN] Link (58,71) triggered large expansion: 36 nodes
[WARN] Link (59,71) triggered large expansion: 36 nodes
[WARN] Link (63,71) triggered large expansion: 33 nodes
[WARN] Link (81,71) triggered large expansion: 39 nodes
[WARN] Link (107,71) triggered large expansion: 49 nodes
[WARN] Link (1,72) triggered large expansion: 43 nodes
[WARN] Link (2,72) triggered large expansion: 45 nodes
[WARN] Link (18,72) triggered large expansion: 48 nodes
[WARN] Link (24,72) triggered large expansion: 41 nodes
[WARN] Link (30,72) triggered large expansion: 47 nodes
[WARN] Link (31,72) triggered large expansion: 43 nodes
[WARN] Link (35,72) triggered large expansion: 39 nodes
[WARN] Link (37,72) triggered large expansion: 43 nodes
[WARN] Link (41,72) triggered large expansion: 47 nodes
[WARN] Link (45,72) triggered large expansion: 32 nodes
[WARN] Link (46,72) triggered large expansion: 42 nodes
[WARN] Link (59,72) triggered large expansion: 39 nodes
[WARN] Link (64,72) triggered large expansion: 31 nodes
[WARN] Link (67,72) triggered large expansion: 40 nodes
[WARN] Link (68,72) triggered large expansion: 36 nodes
[WARN] Link (78,72) triggered large expansion: 32 nodes
[WARN] Link (91,72) triggered large expansion: 33 nodes
[WARN] Link (97,72) triggered large expansion: 36 nodes
[WARN] Link (99,72) triggered large expansion: 43 nodes
[WARN] Link (100,72) triggered large expansion: 45 nodes
[WARN] Link (107,72) triggered large expansion: 52 nodes
[WARN] Link (1,73) triggered large expansion: 42 nodes
[WARN] Link (2,73) triggered large expansion: 44 nodes
[WARN] Link (18,73) triggered large expansion: 47 nodes
[WARN] Link (24,73) triggered large expansion: 40 nodes
[WARN] Link (28,73) triggered large expansion: 47 nodes
[WARN] Link (30,73) triggered large expansion: 46 nodes
[WARN] Link (31,73) triggered large expansion: 42 nodes
[WARN] Link (35,73) triggered large expansion: 38 nodes
[WARN] Link (36,73) triggered large expansion: 41 nodes
[WARN] Link (37,73) triggered large expansion: 42 nodes
[WARN] Link (41,73) triggered large expansion: 46 nodes
[WARN] Link (42,73) triggered large expansion: 38 nodes
[WARN] Link (78,73) triggered large expansion: 31 nodes
[WARN] Link (81,73) triggered large expansion: 41 nodes
[WARN] Link (90,73) triggered large expansion: 46 nodes
[WARN] Link (99,73) triggered large expansion: 42 nodes
[WARN] Link (100,73) triggered large expansion: 44 nodes
[WARN] Link (28,75) triggered large expansion: 37 nodes
[WARN] Link (36,75) triggered large expansion: 31 nodes
[WARN] Link (62,75) triggered large expansion: 32 nodes
[WARN] Link (81,75) triggered large expansion: 31 nodes
[WARN] Link (99,75) triggered large expansion: 32 nodes
[WARN] Link (107,75) triggered large expansion: 41 nodes
[WARN] Link (18,80) triggered large expansion: 34 nodes
[WARN] Link (30,80) triggered large expansion: 33 nodes
[WARN] Link (41,80) triggered large expansion: 33 nodes
[WARN] Link (90,80) triggered large expansion: 33 nodes
[WARN] Link (100,80) triggered large expansion: 31 nodes
[WARN] Link (107,80) triggered large expansion: 38 nodes
[WARN] Link (18,82) triggered large expansion: 41 nodes
[WARN] Link (31,82) triggered large expansion: 36 nodes
[WARN] Link (35,82) triggered large expansion: 32 nodes
[WARN] Link (36,82) triggered large expansion: 35 nodes
[WARN] Link (42,82) triggered large expansion: 32 nodes
Progress: 30% – Elapsed: 0.1s
Encoding link 480 of 1608: (45,82)
[WARN] Link (58,82) triggered large expansion: 32 nodes
[WARN] Link (62,82) triggered large expansion: 36 nodes
[WARN] Link (67,82) triggered large expansion: 33 nodes
[WARN] Link (81,82) triggered large expansion: 35 nodes
[WARN] Link (90,82) triggered large expansion: 40 nodes
[WARN] Link (100,82) triggered large expansion: 38 nodes
[WARN] Link (107,82) triggered large expansion: 45 nodes
[WARN] Link (28,83) triggered large expansion: 32 nodes
[WARN] Link (30,83) triggered large expansion: 31 nodes
[WARN] Link (90,83) triggered large expansion: 31 nodes
[WARN] Link (107,83) triggered large expansion: 36 nodes
[WARN] Link (1,85) triggered large expansion: 39 nodes
[WARN] Link (18,85) triggered large expansion: 44 nodes
[WARN] Link (28,85) triggered large expansion: 44 nodes
[WARN] Link (29,85) triggered large expansion: 33 nodes
[WARN] Link (31,85) triggered large expansion: 39 nodes
[WARN] Link (32,85) triggered large expansion: 31 nodes
[WARN] Link (37,85) triggered large expansion: 39 nodes
[WARN] Link (41,85) triggered large expansion: 44 nodes
[WARN] Link (42,85) triggered large expansion: 37 nodes
[WARN] Link (59,85) triggered large expansion: 37 nodes
[WARN] Link (62,85) triggered large expansion: 39 nodes
[WARN] Link (68,85) triggered large expansion: 33 nodes
[WARN] Link (90,85) triggered large expansion: 44 nodes
[WARN] Link (97,85) triggered large expansion: 33 nodes
[WARN] Link (100,85) triggered large expansion: 41 nodes
[WARN] Link (107,85) triggered large expansion: 48 nodes
[WARN] Link (1,88) triggered large expansion: 42 nodes
[WARN] Link (2,88) triggered large expansion: 46 nodes
[WARN] Link (4,88) triggered large expansion: 31 nodes
[WARN] Link (18,88) triggered large expansion: 46 nodes
[WARN] Link (24,88) triggered large expansion: 40 nodes
[WARN] Link (27,88) triggered large expansion: 33 nodes
[WARN] Link (28,88) triggered large expansion: 47 nodes
[WARN] Link (30,88) triggered large expansion: 45 nodes
[WARN] Link (32,88) triggered large expansion: 33 nodes
[WARN] Link (36,88) triggered large expansion: 42 nodes
[WARN] Link (37,88) triggered large expansion: 42 nodes
[WARN] Link (41,88) triggered large expansion: 46 nodes
[WARN] Link (42,88) triggered large expansion: 39 nodes
[WARN] Link (46,88) triggered large expansion: 42 nodes
[WARN] Link (58,88) triggered large expansion: 38 nodes
[WARN] Link (59,88) triggered large expansion: 39 nodes
[WARN] Link (63,88) triggered large expansion: 35 nodes
[WARN] Link (66,88) triggered large expansion: 33 nodes
[WARN] Link (67,88) triggered large expansion: 40 nodes
[WARN] Link (80,88) triggered large expansion: 32 nodes
[WARN] Link (81,88) triggered large expansion: 41 nodes
[WARN] Link (99,88) triggered large expansion: 42 nodes
[WARN] Link (1,89) triggered large expansion: 47 nodes
[WARN] Link (2,89) triggered large expansion: 51 nodes
[WARN] Link (3,89) triggered large expansion: 37 nodes
[WARN] Link (4,89) triggered large expansion: 36 nodes
[WARN] Link (16,89) triggered large expansion: 36 nodes
[WARN] Link (18,89) triggered large expansion: 51 nodes
[WARN] Link (24,89) triggered large expansion: 45 nodes
[WARN] Link (27,89) triggered large expansion: 38 nodes
[WARN] Link (28,89) triggered large expansion: 52 nodes
[WARN] Link (30,89) triggered large expansion: 50 nodes
[WARN] Link (32,89) triggered large expansion: 38 nodes
[WARN] Link (36,89) triggered large expansion: 47 nodes
[WARN] Link (37,89) triggered large expansion: 47 nodes
[WARN] Link (41,89) triggered large expansion: 51 nodes
[WARN] Link (42,89) triggered large expansion: 44 nodes
[WARN] Link (46,89) triggered large expansion: 47 nodes
[WARN] Link (58,89) triggered large expansion: 43 nodes
[WARN] Link (59,89) triggered large expansion: 44 nodes
[WARN] Link (63,89) triggered large expansion: 40 nodes
[WARN] Link (66,89) triggered large expansion: 38 nodes
[WARN] Link (67,89) triggered large expansion: 45 nodes
[WARN] Link (71,89) triggered large expansion: 31 nodes
[WARN] Link (80,89) triggered large expansion: 37 nodes
[WARN] Link (81,89) triggered large expansion: 46 nodes
[WARN] Link (90,89) triggered large expansion: 52 nodes
[WARN] Link (100,89) triggered large expansion: 49 nodes
[WARN] Link (107,89) triggered large expansion: 55 nodes
[WARN] Link (18,94) triggered large expansion: 42 nodes
[WARN] Link (31,94) triggered large expansion: 37 nodes
[WARN] Link (35,94) triggered large expansion: 33 nodes
[WARN] Link (36,94) triggered large expansion: 36 nodes
[WARN] Link (42,94) triggered large expansion: 33 nodes
[WARN] Link (58,94) triggered large expansion: 33 nodes
[WARN] Link (62,94) triggered large expansion: 37 nodes
[WARN] Link (81,94) triggered large expansion: 36 nodes
[WARN] Link (90,94) triggered large expansion: 41 nodes
[WARN] Link (100,94) triggered large expansion: 39 nodes
[WARN] Link (107,94) triggered large expansion: 46 nodes
[WARN] Link (30,96) triggered large expansion: 32 nodes
[WARN] Link (41,96) triggered large expansion: 32 nodes
[WARN] Link (90,96) triggered large expansion: 32 nodes
[WARN] Link (107,96) triggered large expansion: 37 nodes
[WARN] Link (1,101) triggered large expansion: 45 nodes
[WARN] Link (2,101) triggered large expansion: 46 nodes
[WARN] Link (18,101) triggered large expansion: 49 nodes
[WARN] Link (24,101) triggered large expansion: 43 nodes
[WARN] Link (25,101) triggered large expansion: 33 nodes
[WARN] Link (29,101) triggered large expansion: 38 nodes
[WARN] Link (30,101) triggered large expansion: 47 nodes
[WARN] Link (31,101) triggered large expansion: 45 nodes
[WARN] Link (32,101) triggered large expansion: 36 nodes
[WARN] Link (34,101) triggered large expansion: 34 nodes
[WARN] Link (35,101) triggered large expansion: 40 nodes
[WARN] Link (37,101) triggered large expansion: 44 nodes
[WARN] Link (41,101) triggered large expansion: 47 nodes
[WARN] Link (42,101) triggered large expansion: 41 nodes
[WARN] Link (46,101) triggered large expansion: 43 nodes
[WARN] Link (59,101) triggered large expansion: 41 nodes
[WARN] Link (61,101) triggered large expansion: 35 nodes
[WARN] Link (62,101) triggered large expansion: 44 nodes
[WARN] Link (67,101) triggered large expansion: 43 nodes
[WARN] Link (78,101) triggered large expansion: 34 nodes
[WARN] Link (79,101) triggered large expansion: 36 nodes
[WARN] Link (81,101) triggered large expansion: 44 nodes
[WARN] Link (90,101) triggered large expansion: 48 nodes
[WARN] Link (99,101) triggered large expansion: 44 nodes
Progress: 40% – Elapsed: 0.2s
Encoding link 640 of 1608: (99,101)
[WARN] Link (100,101) triggered large expansion: 46 nodes
[WARN] Link (107,101) triggered large expansion: 52 nodes
[WARN] Link (2,103) triggered large expansion: 32 nodes
[WARN] Link (18,103) triggered large expansion: 35 nodes
[WARN] Link (28,103) triggered large expansion: 35 nodes
[WARN] Link (30,103) triggered large expansion: 34 nodes
[WARN] Link (90,103) triggered large expansion: 34 nodes
[WARN] Link (107,103) triggered large expansion: 39 nodes
[WARN] Link (2,104) triggered large expansion: 32 nodes
[WARN] Link (30,104) triggered large expansion: 34 nodes
[WARN] Link (90,104) triggered large expansion: 34 nodes
[WARN] Link (107,104) triggered large expansion: 39 nodes
[WARN] Link (1,109) triggered large expansion: 45 nodes
[WARN] Link (2,109) triggered large expansion: 48 nodes
[WARN] Link (24,109) triggered large expansion: 43 nodes
[WARN] Link (28,109) triggered large expansion: 50 nodes
[WARN] Link (29,109) triggered large expansion: 38 nodes
[WARN] Link (31,109) triggered large expansion: 45 nodes
[WARN] Link (35,109) triggered large expansion: 41 nodes
[WARN] Link (37,109) triggered large expansion: 45 nodes
[WARN] Link (38,109) triggered large expansion: 31 nodes
[WARN] Link (41,109) triggered large expansion: 49 nodes
[WARN] Link (46,109) triggered large expansion: 44 nodes
[WARN] Link (58,109) triggered large expansion: 41 nodes
[WARN] Link (59,109) triggered large expansion: 42 nodes
[WARN] Link (60,109) triggered large expansion: 35 nodes
[WARN] Link (62,109) triggered large expansion: 45 nodes
[WARN] Link (63,109) triggered large expansion: 39 nodes
[WARN] Link (67,109) triggered large expansion: 43 nodes
[WARN] Link (68,109) triggered large expansion: 38 nodes
[WARN] Link (78,109) triggered large expansion: 34 nodes
[WARN] Link (81,109) triggered large expansion: 44 nodes
[WARN] Link (91,109) triggered large expansion: 36 nodes
[WARN] Link (97,109) triggered large expansion: 39 nodes
[WARN] Link (99,109) triggered large expansion: 45 nodes
[WARN] Link (100,109) triggered large expansion: 47 nodes
[WARN] Link (1,110) triggered large expansion: 46 nodes
[WARN] Link (2,110) triggered large expansion: 50 nodes
[WARN] Link (3,110) triggered large expansion: 37 nodes
[WARN] Link (14,110) triggered large expansion: 31 nodes
[WARN] Link (24,110) triggered large expansion: 44 nodes
[WARN] Link (25,110) triggered large expansion: 35 nodes
[WARN] Link (27,110) triggered large expansion: 38 nodes
[WARN] Link (29,110) triggered large expansion: 41 nodes
[WARN] Link (31,110) triggered large expansion: 47 nodes
[WARN] Link (35,110) triggered large expansion: 43 nodes
[WARN] Link (36,110) triggered large expansion: 47 nodes
[WARN] Link (37,110) triggered large expansion: 47 nodes
[WARN] Link (38,110) triggered large expansion: 33 nodes
