[INFO] Processing dataset: HEW22_tax_mass
Processing with K = 10, strategy: random, rareFraction: 0.00
[DivideNet] Using directed logic. Connectivity check: 1
[DivideNet] Test links accepted: 419 / 419 (100.0%)
[DivideNet] Attempts made: 481 | Failed attempts: 62
Experiment 1 (strategy: random) — Running WLNM...
[Warning: [sample_neg] Pool 44 < need 4276 with role filter. Disabling role filter.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('sample_neg', '/Users/jorge/Documents/qmul-phd-framework/src/matlab/sample_neg.m', 88)" style="font-weight:bold">sample_neg</a> (<a href="matlab: opentoline('/Users/jorge/Documents/qmul-phd-framework/src/matlab/sample_neg.m',88,0)">line 88</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('WLNM', '/Users/jorge/Documents/qmul-phd-framework/src/matlab/WLNM.m', 33)" style="font-weight:bold">WLNM</a> (<a href="matlab: opentoline('/Users/jorge/Documents/qmul-phd-framework/src/matlab/WLNM.m',33,0)">line 33</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('Main>processExperiment', '/Users/jorge/Documents/qmul-phd-framework/src/matlab/Main.m', 208)" style="font-weight:bold">Main>processExperiment</a> (<a href="matlab: opentoline('/Users/jorge/Documents/qmul-phd-framework/src/matlab/Main.m',208,0)">line 208</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('Main>runExperiments', '/Users/jorge/Documents/qmul-phd-framework/src/matlab/Main.m', 185)" style="font-weight:bold">Main>runExperiments</a> (<a href="matlab: opentoline('/Users/jorge/Documents/qmul-phd-framework/src/matlab/Main.m',185,0)">line 185</a>)
In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('Main', '/Users/jorge/Documents/qmul-phd-framework/src/matlab/Main.m', 135)" style="font-weight:bold">Main</a> (<a href="matlab: opentoline('/Users/jorge/Documents/qmul-phd-framework/src/matlab/Main.m',135,0)">line 135</a>)] 
[NegPool] pool=16540 need_total=4276 a=2 eval_all=0 role_filter=1 | k_train=3438 k_test=838
[sample_neg] Final link counts (use_role_filter = 1):
    Train Positive: 1719
    Train Negative: 3438
    Test  Positive: 419
    Test  Negative: 838
[WLNM] Skipping DegreeCompute: non-degree-based strategy selected.
Encoding 5157 subgraphs (K = 10)...
Progress: 10% – Elapsed: 0.1s
Progress: 20% – Elapsed: 0.3s
Progress: 30% – Elapsed: 0.4s
Progress: 40% – Elapsed: 0.6s
Progress: 50% – Elapsed: 0.7s
Progress: 60% – Elapsed: 0.9s
Progress: 70% – Elapsed: 1.0s
Progress: 80% – Elapsed: 1.2s
Progress: 90% – Elapsed: 1.4s
Progress: 100% – Elapsed: 1.5s
Done. Total time: 1.5s
Encoding 1257 subgraphs (K = 10)...
Progress: 10% – Elapsed: 0.0s
Progress: 20% – Elapsed: 0.1s
Progress: 30% – Elapsed: 0.1s
Progress: 40% – Elapsed: 0.2s
Progress: 50% – Elapsed: 0.2s
Progress: 60% – Elapsed: 0.2s
Progress: 70% – Elapsed: 0.3s
Progress: 80% – Elapsed: 0.3s
Progress: 89% – Elapsed: 0.3s
Progress: 99% – Elapsed: 0.4s
Done. Total time: 0.4s
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       72.66% |       0.6340 |          0.1000 |
|       2 |          50 |       00:00:00 |       86.72% |       0.3302 |          0.1000 |
|       3 |         100 |       00:00:00 |       85.94% |       0.4011 |          0.1000 |
|       4 |         150 |       00:00:00 |       84.38% |       0.3073 |          0.1000 |
|       5 |         200 |       00:00:00 |       85.16% |       0.2839 |          0.1000 |
|       7 |         250 |       00:00:00 |       89.06% |       0.3154 |          0.1000 |
|       8 |         300 |       00:00:00 |       85.94% |       0.3386 |          0.1000 |
|       9 |         350 |       00:00:00 |       87.50% |       0.2753 |          0.1000 |
|      10 |         400 |       00:00:00 |       87.50% |       0.2469 |          0.1000 |
|      12 |         450 |       00:00:00 |       88.28% |       0.3163 |          0.0900 |
|      13 |         500 |       00:00:00 |       84.38% |       0.3188 |          0.0900 |
|      14 |         550 |       00:00:00 |       89.84% |       0.2427 |          0.0900 |
|      15 |         600 |       00:00:00 |       91.41% |       0.2180 |          0.0900 |
|      17 |         650 |       00:00:00 |       91.41% |       0.2837 |          0.0900 |
|      18 |         700 |       00:00:00 |       86.72% |       0.2800 |          0.0900 |
|      19 |         750 |       00:00:00 |       91.41% |       0.2294 |          0.0900 |
|      20 |         800 |       00:00:01 |       90.62% |       0.2224 |          0.0900 |
|      22 |         850 |       00:00:01 |       91.41% |       0.2787 |          0.0810 |
|      23 |         900 |       00:00:01 |       88.28% |       0.2889 |          0.0810 |
|      24 |         950 |       00:00:01 |       89.84% |       0.2199 |          0.0810 |
|      25 |        1000 |       00:00:01 |       92.19% |       0.1829 |          0.0810 |
|      27 |        1050 |       00:00:01 |       91.41% |       0.2381 |          0.0810 |
|      28 |        1100 |       00:00:01 |       87.50% |       0.2725 |          0.0810 |
|      29 |        1150 |       00:00:01 |       90.62% |       0.2143 |          0.0810 |
|      30 |        1200 |       00:00:01 |       90.62% |       0.1880 |          0.0810 |
|      32 |        1250 |       00:00:01 |       94.53% |       0.2402 |          0.0729 |
|      33 |        1300 |       00:00:01 |       89.06% |       0.2621 |          0.0729 |
|      34 |        1350 |       00:00:01 |       92.19% |       0.2063 |          0.0729 |
|      35 |        1400 |       00:00:01 |       89.06% |       0.2091 |          0.0729 |
|      37 |        1450 |       00:00:01 |       89.06% |       0.2459 |          0.0729 |
|      38 |        1500 |       00:00:01 |       88.28% |       0.2505 |          0.0729 |
|      39 |        1550 |       00:00:02 |       91.41% |       0.1979 |          0.0729 |
|      40 |        1600 |       00:00:02 |       91.41% |       0.1870 |          0.0729 |
|      42 |        1650 |       00:00:02 |       92.19% |       0.2372 |          0.0656 |
|      43 |        1700 |       00:00:02 |       87.50% |       0.2984 |          0.0656 |
|      44 |        1750 |       00:00:02 |       90.62% |       0.1819 |          0.0656 |
|      45 |        1800 |       00:00:02 |       91.41% |       0.2017 |          0.0656 |
|      47 |        1850 |       00:00:02 |       92.97% |       0.2099 |          0.0656 |
|      48 |        1900 |       00:00:02 |       87.50% |       0.2653 |          0.0656 |
|      49 |        1950 |       00:00:02 |       92.19% |       0.1943 |          0.0656 |
|      50 |        2000 |       00:00:02 |       89.84% |       0.1736 |          0.0656 |
