Species,Type,L1P1,L1P2,L2P1,CR1P3,CR2P4,average,min,max,foodwebs
"""Lipophrys pholis""","[""Consumer""]",33,27,24,30,20,26.8,20,33,5
"""Sphacelaria cirrosa""","[""Resource""]",25,20,25,22,19,22.2,19,25,5
"""Ulva lactuca""","[""Resource""]",25,20,25,22,19,22.2,19,25,5
"""Ellisolandia elongata""","[""Resource""]",,20,25,22,19,21.5,19,25,4
"""Zooplankton""","[""Resource""]",,17,14,14,14,14.75,14,17,4
"""Gobius paganellus""","[""Consumer""]",29,30,26,30,,28.75,26,30,4
"""Asparagopsis armata""","[""Resource""]",25,20,25,22,,23,20,25,4
"""Palaemon longirostris""","[""Consumer""]",,21,21,,13,18.33333333,13,21,3
"""Colpomenia peregrina""","[""Resource""]",25,20,,22,,22.33333333,20,25,3
"""Bifurcaria bifurcata""","[""Resource""]",25,20,25,,,23.33333333,20,25,3
"""Gammaridae""","[""Consumer""]",,,,11,6,8.5,6,11,2
"""Codium sp.""","[""Resource""]",,,25,22,,23.5,22,25,2
"""Palaemon elegans""","[""Consumer""]",,20,20,,,20,20,20,2
"""Dictyota dichotoma""","[""Resource""]",25,20,,,,22.5,20,25,2
"""Dictyopteris polypodioides""","[""Resource""]",25,20,,,,22.5,20,25,2
"""Gobius paganellus""","[""Consumer""]",,,,,19,19,19,19,1
"""Pachygrapsus marmoratus""","[""Consumer""]",,,,,14,14,14,14,1
"""Carcinus maenas""","[""Consumer""]",,,,,8,8,8,8,1
"""Polychaeta""","[""Resource""]",,,,,6,6,6,6,1
"""PhytoP""","[""Resource""]",,,,,6,6,6,6,1
"""Insecta""","[""Resource""]",,,,,5,5,5,5,1
"""Insecta""","[""Consumer""]",,,,,5,5,5,5,1
"""Ophiuroidea""","[""Consumer""]",,,,,5,5,5,5,1
"""Leathesia marina""","[""Resource""]",,,,22,,22,22,22,1
"""Chondrus crispus""","[""Resource""]",,,,22,,22,22,22,1
"""Aulactinia verrucosa""","[""Consumer""]",,,,19,,19,19,19,1
"""Actinia equina""","[""Consumer""]",,,,19,,19,19,19,1
"""Caprella sp.""","[""Consumer""]",,,,11,,11,11,11,1
"""Ceramium ciliatum""","[""Resource""]",,,25,,,25,25,25,1
"""Sargassum sp.""","[""Resource""]",,,25,,,25,25,25,1
"""Actinia fragacea""","[""Consumer""]",,,24,,,24,24,24,1
"""Eriphia verrucosa""","[""Consumer""]",,,12,,,12,12,12,1
"""Anemonia sulcata""","[""Consumer""]",,25,,,,25,25,25,1
"""Maja squinado""","[""Consumer""]",,17,,,,17,17,17,1
"""Lipophrys trigloides""","[""Consumer""]",27,,,,,27,27,27,1
"""Saccorhiza polyschides""","[""Resource""]",25,,,,,25,25,25,1
"""Gelidium corneum""","[""Resource""]",25,,,,,25,25,25,1
"""Cladophora rupestris""","[""Resource""]",25,,,,,25,25,25,1
"""Cystoseira sp.""","[""Resource""]",25,,,,,25,25,25,1
"""Diplodus sargus sargus""","[""Consumer""]",25,,,,,25,25,25,1
