autoID,link.citation,link.methodology,interactionType,interaction.dimensionality,interaction.classification,conTaxonomy,con.taxonomy.level,con.common,con.lifestage,con.metabolic.type,con.movement.type,con.size.citation,con.size.method,con.length.min.cm.,con.length.mean.cm.,con.length.max.cm.,con.mass.min.g.,conMassMean,con.mass.max.g.,resTaxonomy,res.taxonomy.level,res.common,res.lifestage,res.metabolic.type,res.movement.type,res.size.citation,res.size.method,res.length.min.cm.,res.length.mean.cm.,res.length.max.cm.,res.mass.min.g.,resMassMean,res.mass.max.g.,geographic.location,longitude,latitude,ecosystem.type,study.site,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,foodwebName,bodyMassRatio
158471,Layer et al. (2010),published account,detritivorous,,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,CPOM,,,,detritus,other,,regression,-999,-999.0,-999,-999,-999.0,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,-2.041784784784785e-06
158472,Layer et al. (2010),published account,detritivorous,,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,FPOM,,,,detritus,other,,regression,-999,-999.0,-999,-999,-999.0,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,-2.041784784784785e-06
158473,Layer et al. (2010),published account,predacious,2D,ibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Baetis niger,species,,larvae,invertebrate,walking,,regression,-999,-999.0,-999,-999,0.000387472,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,5.264233286534253
158474,Layer et al. (2010),published account,predacious,2D,ibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Chironomidae,family,,larvae,invertebrate,walking,,regression,-999,-999.0,-999,-999,0.000309467,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,6.591148652360348
158475,Layer et al. (2010),published account,predacious,2D,ibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Tanypodinae,family,,larvae,invertebrate,walking,,regression,-999,-999.0,-999,-999,0.00073558,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,2.772972348350961
158476,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Achnanthes,genus,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,2.12e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,9621429.24528302
158477,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Achnanthes joursacense,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,2.83e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,7207572.438162545
158478,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Achnanthes lanceolata,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,3.49e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,5844535.816618912
158479,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Amphora ovalis,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,9.89e-11,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,20624297.26996967
158480,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Amphora pediculus,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,3.38e-12,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,603474260.3550296
158481,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Cocconeis placentula,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.04e-08,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,196129.13461538465
158482,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Cymatopleura solea,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,2.76e-11,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,73903731.88405797
158483,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Cymbella lanceolata,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.26e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,16188436.507936507
158484,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Diatoma vulgaris,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,5.73e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,3559760.9075043635
158485,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Encyonema minutum,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,7.92e-12,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,257543308.0808081
158486,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Encyonema silesiacum,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.34e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,15221962.686567163
158487,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Fragilaria elliptica,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,7.15e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,2852787.4125874126
158488,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Fragilaria leptostauron,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,3.05e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,6687681.967213116
158489,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Fragilaria ulna,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,4.79e-08,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,42583.3611691023
158490,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Fragilaria vaucheriae,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,8.75e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,2331134.8571428573
158491,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Gomphonema olivaceum,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,8.84e-11,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,23074015.837104075
158492,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Melosira varians,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.94e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,10514139.175257731
158493,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Navicula capitatoradiata,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.83e-09,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,1114613.6612021858
158494,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Navicula cryptotenella,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.27e-09,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,1606096.8503937009
158495,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Navicula gregaria,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.76e-09,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,1158944.8863636365
158496,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Navicula lanceolata,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,2.11e-09,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,966702.8436018958
158497,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Navicula menisculus,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,8.84e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,2307401.5837104074
158498,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Navicula pseudofrugalis,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.32e-09,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,1545259.8484848486
158499,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Navicula tripunctata,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,3e-09,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,679914.3333333334
158500,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Nitzschia dissipata,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.62e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,12591006.172839506
158501,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Nitzschia perminuta,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.43e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,14263937.062937064
158502,Layer et al. (2010),published account,herbivorous,2D,nibi,Anabolia nervosa,species,,larvae,invertebrate,walking,Layer et al. (2010),regression,-999,-999.0,-999,-999,0.002039743,-999,Rhoicosphenia abbreviata,species,,,primary producer,sessile,,regression,-999,-999.0,-999,-999,1.97e-10,-999,United Kingdom,-2.18,50.68,streams,UK Streams,10.0,0.5,spring,2005.0,2006.0,pH-value: 8.4,Mill Stream,10354025.38071066
