Foodweb,Nodes,Edges,Connectance,EcosystemType
AEW06_tax_mass,120,1745,0.12219888,terrestrial belowground
AEW01_tax_mass,121,1841,0.126790634,terrestrial belowground
Test Stream_tax_mass,121,3195,0.220041322,streams
SEW03_tax_mass,122,2103,0.142460371,terrestrial belowground
AEW03_tax_mass,122,1845,0.124983065,terrestrial belowground
HEW03_tax_mass,123,1668,0.111155538,terrestrial belowground
AEW25_tax_mass,123,1854,0.12355058,terrestrial belowground
SEW18_tax_mass,123,1895,0.12628282,terrestrial belowground
AEW04_tax_mass,125,1838,0.118580645,terrestrial belowground
HEW02_tax_mass,126,1779,0.112952381,terrestrial belowground
AEW05_tax_mass,126,1876,0.119111111,terrestrial belowground
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 _tax_mass",126,1205,0.076507937,terrestrial aboveground
SEW06_tax_mass,127,1991,0.124421947,terrestrial belowground
Wensum Stream_tax_mass,127,3504,0.218972628,streams
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 _tax_mass",128,1261,0.077571358,terrestrial aboveground
AEW07_tax_mass,129,1958,0.118580426,terrestrial belowground
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 _tax_mass",131,1390,0.081620669,terrestrial aboveground
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 _tax_mass",132,1285,0.07431182,terrestrial aboveground
HEW11_tax_mass,132,1931,0.111670136,terrestrial belowground
HEW16_tax_mass,132,2275,0.131563729,terrestrial belowground
SEW07_tax_mass,132,2787,0.161172797,terrestrial belowground
AEW09_tax_mass,134,2374,0.13320615,terrestrial belowground
HEW01_tax_mass,134,1573,0.088261699,terrestrial belowground
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2_tax_mass",136,1301,0.070860566,terrestrial aboveground
AEW08_tax_mass,136,2305,0.125544662,terrestrial belowground
HEW22_tax_mass,137,2138,0.114748819,terrestrial belowground
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1_tax_mass",139,1558,0.081221979,terrestrial aboveground
HEW17_tax_mass,139,2110,0.109998957,terrestrial belowground
HEW06_tax_mass,142,2346,0.117171112,terrestrial belowground
HEW12_tax_mass,143,2516,0.123904265,terrestrial belowground
HEW13_tax_mass,144,2154,0.10460373,terrestrial belowground
AEW17_tax_mass,145,2864,0.137164751,terrestrial belowground
HEW21_tax_mass,146,1999,0.094426075,terrestrial belowground
HEW47_tax_mass,148,3073,0.141248391,terrestrial belowground
AEW02_tax_mass,153,3345,0.143833849,terrestrial belowground
AEW49_tax_mass,154,2883,0.122358034,terrestrial belowground
HEW36_tax_mass,160,3251,0.127790881,terrestrial belowground
Carpinteria_tax_mass,160,3554,0.139701258,terrestrial aboveground
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1_tax_mass",163,2120,0.080284784,terrestrial aboveground
HEW05_tax_mass,168,3138,0.111847733,terrestrial belowground
FloridaIslandE1_tax_mass,210,3559,0.081089086,terrestrial aboveground
FloridaIslandE3_tax_mass,211,3669,0.082802979,terrestrial aboveground
Caribbean Reef_tax_mass,247,3311,0.054491294,marine
Kongsfjorden_tax_mass,263,1603,0.023263576,marine
Lough Hyne_tax_mass,346,5052,0.042322192,marine
Weddell Sea_tax_mass,490,16041,0.066946288,marine
Chesapeake Bay_tax_mass,521,15746,0.058120478,marine
