Foodweb,Nodes,Edges,Connectance,ecosystem.type
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",163,2120,0.080284784,terrestrial aboveground
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",136,1301,0.070860566,terrestrial aboveground
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",139,1558,0.081221979,terrestrial aboveground
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2",97,776,0.083333333,terrestrial aboveground
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ",131,1390,0.081620669,terrestrial aboveground
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",128,1261,0.077571358,terrestrial aboveground
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ",132,1285,0.07431182,terrestrial aboveground
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ",126,1205,0.076507937,terrestrial aboveground
Ythan Estuary,92,417,0.049808887,marine
AEW01,121,1841,0.126790634,terrestrial belowground
AEW02,153,3345,0.143833849,terrestrial belowground
AEW03,122,1845,0.124983065,terrestrial belowground
AEW04,125,1838,0.118580645,terrestrial belowground
AEW05,126,1876,0.119111111,terrestrial belowground
AEW06,120,1745,0.12219888,terrestrial belowground
AEW07,129,1958,0.118580426,terrestrial belowground
AEW08,136,2305,0.125544662,terrestrial belowground
AEW09,134,2374,0.13320615,terrestrial belowground
AEW11,120,1865,0.130602241,terrestrial belowground
AEW17,145,2864,0.137164751,terrestrial belowground
AEW18,111,1609,0.131777232,terrestrial belowground
AEW25,123,1854,0.12355058,terrestrial belowground
AEW27,120,1346,0.094257703,terrestrial belowground
AEW30,114,1423,0.110464214,terrestrial belowground
AEW49,154,2883,0.122358034,terrestrial belowground
HEW01,134,1573,0.088261699,terrestrial belowground
HEW02,126,1779,0.112952381,terrestrial belowground
HEW03,123,1668,0.111155538,terrestrial belowground
HEW04,116,1196,0.089655172,terrestrial belowground
HEW05,168,3138,0.111847733,terrestrial belowground
HEW06,142,2346,0.117171112,terrestrial belowground
HEW10,91,889,0.108547009,terrestrial belowground
HEW11,132,1931,0.111670136,terrestrial belowground
HEW12,143,2516,0.123904265,terrestrial belowground
HEW13,144,2154,0.10460373,terrestrial belowground
HEW16,132,2275,0.131563729,terrestrial belowground
HEW17,139,2110,0.109998957,terrestrial belowground
HEW21,146,1999,0.094426075,terrestrial belowground
HEW22,137,2138,0.114748819,terrestrial belowground
HEW36,160,3251,0.127790881,terrestrial belowground
HEW47,148,3073,0.141248391,terrestrial belowground
SEW01,104,1245,0.116224795,terrestrial belowground
SEW02,93,730,0.085320243,terrestrial belowground
SEW03,122,2103,0.142460371,terrestrial belowground
SEW04,120,1604,0.11232493,terrestrial belowground
SEW05,101,1239,0.122673267,terrestrial belowground
SEW06,127,1991,0.124421947,terrestrial belowground
SEW07,132,2787,0.161172797,terrestrial belowground
SEW08,118,1897,0.137404027,terrestrial belowground
SEW09,89,1039,0.132660878,terrestrial belowground
SEW18,123,1895,0.12628282,terrestrial belowground
SEW35,101,1184,0.117227723,terrestrial belowground
SEW36,89,960,0.122574055,terrestrial belowground
SEW37,118,2031,0.147109952,terrestrial belowground
SEW41,118,1757,0.127263509,terrestrial belowground
SEW43,120,1814,0.127030812,terrestrial belowground
SEW48,118,1883,0.136389975,terrestrial belowground
Kongsfjorden,263,1603,0.023263576,marine
Alford lake,56,220,0.071428571,lakes
Balsam lake,50,261,0.106530612,lakes
Beaver lake,56,267,0.086688312,lakes
