Foodweb,Nodes,Edges,Connectance
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",163,2120,0.08028478376126638
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",136,1301,0.07086056644880175
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",139,1558,0.08122197893858826
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2",97,776,0.08333333333333333
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ",131,1390,0.08162066940692896
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",128,1261,0.07757135826771654
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ",132,1285,0.0743118204950266
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ",126,1205,0.07650793650793651
Ythan Estuary,92,417,0.049808886765408504
AEW01,121,1841,0.12679063360881543
AEW02,153,3345,0.14383384932920537
AEW03,122,1845,0.12498306462538951
AEW04,125,1838,0.11858064516129033
AEW05,126,1876,0.11911111111111111
AEW06,120,1745,0.12219887955182072
AEW07,129,1958,0.11858042635658915
AEW08,136,2305,0.1255446623093682
AEW09,134,2374,0.13320614970261474
AEW11,120,1865,0.13060224089635855
AEW17,145,2864,0.1371647509578544
AEW18,111,1609,0.13177723177723177
AEW25,123,1854,0.12355057976809276
AEW27,120,1346,0.09425770308123249
AEW30,114,1423,0.1104642136314237
AEW49,154,2883,0.12235803412274
HEW01,134,1573,0.0882616990236786
HEW02,126,1779,0.11295238095238096
HEW03,123,1668,0.11115553778488604
HEW04,116,1196,0.0896551724137931
HEW05,168,3138,0.11184773310521813
HEW06,142,2346,0.11717111177704526
HEW10,91,889,0.10854700854700855
HEW11,132,1931,0.11167013647929679
HEW12,143,2516,0.12390426474933518
HEW13,144,2154,0.1046037296037296
HEW16,132,2275,0.13156372889197318
HEW17,139,2110,0.10999895735585445
HEW21,146,1999,0.09442607463391592
HEW22,137,2138,0.11474881923572348
HEW36,160,3251,0.12779088050314466
HEW47,148,3073,0.14124839124839125
SEW01,104,1245,0.11622479462285287
SEW02,93,730,0.08532024310425433
SEW03,122,2103,0.14246037122341146
SEW04,120,1604,0.1123249299719888
SEW05,101,1239,0.12267326732673267
SEW06,127,1991,0.12442194725659293
SEW07,132,2787,0.16117279666897988
SEW08,118,1897,0.1374040272345357
SEW09,89,1039,0.1326608784473953
SEW18,123,1895,0.12628282020525122
SEW35,101,1184,0.11722772277227722
SEW36,89,960,0.12257405515832483
SEW37,118,2031,0.14710995219469797
SEW41,118,1757,0.12726350861944083
SEW43,120,1814,0.12703081232492996
SEW48,118,1883,0.13638997537302622
Kongsfjorden,263,1603,0.02326357646649058
Alford lake,56,220,0.07142857142857142
Balsam lake,50,261,0.10653061224489796
Beaver lake,56,267,0.08668831168831169
Big hope lake,61,328,0.08961748633879782
Brandy lake,30,121,0.13908045977011493
Bridge brook lake,75,553,0.09963963963963963
Brook trout lake,15,19,0.09047619047619047
Buck pond,41,153,0.09329268292682927
Burntbridge lake,53,183,0.06640058055152395
Cascade lake,35,118,0.09915966386554621
Chub lake,36,83,0.06587301587301587
Chub pond,54,416,0.1453529000698812
Connera lake,65,418,0.10048076923076923
Constable lake,32,61,0.06149193548387097
Deep lake,19,28,0.08187134502923976
Emerald lake,22,58,0.12554112554112554
Falls lake,39,152,0.10256410256410256
Fawn lake,32,122,0.12298387096774194
Federation lake,22,57,0.12337662337662338
Goose lake,40,98,0.06282051282051282
Grass lake,44,165,0.0872093023255814
Gull lake,45,212,0.10707070707070707
Gull lake north,16,25,0.10416666666666667
Helldiver pond,41,169,0.10304878048780487
High pond,24,87,0.15760869565217392
Hoel lake,72,571,0.11169796557120501
Horseshoe Lake,49,255,0.10841836734693877
Indian Lake,35,102,0.08571428571428572
Little Rainbow Lake,52,247,0.09313725490196079
Long Lake,65,417,0.10024038461538462
Loon Lake,35,118,0.09915966386554621
Lost Lake,31,148,0.15913978494623657
Lost Lake East,41,137,0.08353658536585366
Lower Sister Lake,37,161,0.12087087087087087
Oswego Lake,33,138,0.13068181818181818
Owl Lake,30,71,0.08160919540229886
Rat Lake,50,273,0.11142857142857143
Razorback Lake,42,179,0.10394889663182347
Rock Lake,22,43,0.09307359307359307
Russian Lake,24,61,0.1105072463768116
Safford Lake,44,225,0.11892177589852009
Sand Lake,29,82,0.10098522167487685
South Lake,22,36,0.07792207792207792
Squaw Lake,41,169,0.10304878048780487
Stink Lake,53,281,0.10195936139332366
Twelfth Tee Lake,31,83,0.08924731182795699
Twin Lake East,13,17,0.10897435897435898
Twin Lake West,26,60,0.09230769230769231
Whipple Lake,32,136,0.13709677419354838
Wolf Lake,27,42,0.05982905982905983
Weddell Sea,490,16041,0.066946287717541
Tuesday Lake 1984,50,269,0.10979591836734694
Tuesday Lake 1986,51,241,0.09450980392156863
Chilean Intertidal Curaumilla,104,1340,0.12509335324869306
Chilean Intertidal El Quisco,101,1347,0.13336633663366337
Chilean Intertidal Las Cruces,105,1357,0.12426739926739927
Chilean Intertidal Los Molles,105,1352,0.12380952380952381
Chesapeake Bay,521,15746,0.05812047836999852
Carpinteria,160,3554,0.13970125786163523
Scottish Lake,51,347,0.13607843137254902
Afon Hafren 2005,22,109,0.23593073593073594
Allt a Mharcaidh,37,267,0.20045045045045046
Broadstone Stream,23,107,0.21146245059288538
Dargall Lane,20,72,0.18947368421052632
Duddon Pike Beck,31,191,0.2053763440860215
Hardknott Gill,41,382,0.2329268292682927
Mill Stream,81,1443,0.22268518518518518
Mosendale Beck,21,85,0.20238095238095238
Old Lodge,21,87,0.20714285714285716
Alert,16,36,0.15
Bylot,16,32,0.13333333333333333
Herschel,23,55,0.10869565217391304
Nenetsky,24,71,0.1286231884057971
Svalbard,13,21,0.1346153846153846
Yamal,22,64,0.13852813852813853
Zackenberg,17,37,0.13602941176470587
Gearagh,117,383,0.028219864426760978
Dutch Microfauna food web PlotA,94,844,0.09654541294898193
Dutch Microfauna food web PlotB,95,588,0.0658454647256439
Dutch Microfauna food web PlotC,99,901,0.09286745001030715
Bure Stream,95,1938,0.2170212765957447
Loddon Stream,105,2552,0.2336996336996337
Lyde Stream,110,2041,0.1702251876563803
Test Stream,121,3195,0.22004132231404958
Wensum Stream,127,3504,0.21897262842144732
Lake Malawi,27,142,0.2022792022792023
Iceland stream IS7 April 2009,30,169,0.19425287356321838
Iceland stream IS7 August 2008,59,621,0.18147282291057862
Iceland stream IS8  April 2009,37,216,0.16216216216216217
Iceland stream IS8 August 2008,43,260,0.14396456256921372
Caribbean Reef,247,3311,0.054491293900793256
FloridaIslandE1,210,3559,0.08108908635224425
FloridaIslandE2,59,298,0.08708357685563997
FloridaIslandE3,211,3669,0.08280297901150982
FloridaIslandE7,54,301,0.10517120894479386
FloridaIslandE9,56,361,0.1172077922077922
Lough Hyne,346,5052,0.04232219150540337
Blackrock Stream,88,375,0.04898119122257053
Broad Stream,95,565,0.06326987681970885
Canton Creek,110,708,0.059049207673060884
Dempsters Stream,110,966,0.08056713928273561
German Creek,86,353,0.04829001367989056
Healy Creek,99,634,0.06534735106163678
Kye Burn,101,629,0.06227722772277228
Little Kye Burn,79,371,0.06020772476468679
Stony Stream,113,832,0.06573957016434892
Sutton Stream,88,423,0.05525078369905956
AP1,13,17,0.10897435897435898
AP2,18,40,0.13071895424836602
AP3,18,52,0.16993464052287582
