autoID,link.citation,link.methodology,interaction.type,interaction.dimensionality,interaction.classification,con.taxonomy,con.taxonomy.level,con.common,con.lifestage,con.metabolic.type,con.movement.type,con.size.citation,con.size.method,con.length.min.cm.,con.length.mean.cm.,con.length.max.cm.,con.mass.min.g.,con.mass.mean.g.,con.mass.max.g.,res.taxonomy,res.taxonomy.level,res.common,res.lifestage,res.metabolic.type,res.movement.type,res.size.citation,res.size.method,res.length.min.cm.,res.length.mean.cm.,res.length.max.cm.,res.mass.min.g.,res.mass.mean.g.,res.mass.max.g.,geographic.location,longitude,latitude,ecosystem.type,study.site,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,foodweb.name
221788,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,3D  ,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Chironomidae indet.,family,,larvae,invertebrate,walking,Brose et al. 2005,measurement,-999,0.373,-999,-999,0.0382,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221789,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,3D  ,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Tanytarsus bruchonidae,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.247,-999,-999,0.01298,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221790,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,3D  ,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Glyptotendipes pallens,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.488,-999,-999,0.0773,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221791,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,3D  ,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Chironomus dorsalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.624,-999,-999,0.1472,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221792,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,3D  ,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Corynoneura scutellata,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.211,-999,-999,0.0086,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221793,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,3D  ,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Acanthocyclops vernalis,species,Copepoda,adults,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.125,-999,-999,0.0022,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221794,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,3D  ,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Chydorus latus,species,Cladocera,adults,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.04,-999,-999,0.0001,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221795,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,3D  ,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Scapaloberis mucronata,species,Cladocera,adults,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.09,-999,-999,0.0009,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221796,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,2D,ibi,Procladius sagittalis,species,Diptera,larvae,invertebrate,swimming,Brose et al. 2005,measurement,-999,0.394,-999,-999,0.0441,-999,Enchytraidae sp.,family,Oligochaeta,adults,invertebrate,walking,Brose et al. 2005,measurement,-999,0.21,-999,-999,0.0085,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
221797,Warren (1989),Field; gut/stomach analysis; feeding trial; published account,predacious,2D,ibi,Limnephilus marmoratus,species,Trichoptera,larvae,invertebrate,walking,Brose et al. 2005,measurement,-999,1.195,-999,-999,0.8076,-999,Chironomidae indet.,family,,larvae,invertebrate,walking,Brose et al. 2005,measurement,-999,0.373,-999,-999,0.0382,-999,"United Kingdom; Skipwith Common, North Yorkshire",-0.997596,53.827343,lakes,Skipwith Pond,-999.0,-999.0,,,,,Skipwith Pond
