page1,page2,similarity
"""Josh Marks""","""Seasons 52""",0.6063888669013977
"""Josh Marks""","""Domino's Pizza""",0.5893726348876953
"""Josh Marks""","""משה שגב / Moshe Segev""",0.5862083435058594
"""Josh Marks""","""RED Sushi and Hibachi Grill""",0.5805485844612122
"""Josh Marks""","""El Torito""",0.576092541217804
"""Josh Marks""","""Noma""",0.5754863023757935
"""Josh Marks""","""Chef Carmen Gonzalez""",0.5752061009407043
"""Josh Marks""","""Delverde""",0.5718876123428345
"""Josh Marks""","""Karlos Arguiñano""",0.5679211616516113
"""Josh Marks""","""Bobby's Burger Palace""",0.5675787925720215
"""Blue Ribbon Restaurants""","""Eddie Jackson - FIT CHEF EDDIE""",0.5786046981811523
"""Blue Ribbon Restaurants""","""Domino's Pizza""",0.5762684345245361
"""Blue Ribbon Restaurants""","""Per Se""",0.574899435043335
"""Blue Ribbon Restaurants""","""SORTEDfood""",0.5747143030166626
"""Blue Ribbon Restaurants""","""Chef Mary Sue Milliken""",0.5746881365776062
"""Blue Ribbon Restaurants""","""Joanna 劉韋彤""",0.5743743777275085
"""Blue Ribbon Restaurants""","""McDonald's""",0.5740512013435364
"""Blue Ribbon Restaurants""","""맥도날드 (McDonald's)""",0.571904182434082
"""Blue Ribbon Restaurants""","""MASAの料理ABC""",0.5718809962272644
"""Blue Ribbon Restaurants""","""Carl's Jr. NZ""",0.5672734975814819
"""Pat Neely""","""Antonino Cannavacciuolo""",0.6080231070518494
"""Pat Neely""","""SORTEDfood""",0.6004719734191895
"""Pat Neely""","""Chef Ana Paula""",0.5938978791236877
"""Pat Neely""","""João Alcantara""",0.5779612064361572
"""Pat Neely""","""Luna Grill""",0.575212836265564
"""Pat Neely""","""Taco Bell Careers""",0.5750879645347595
"""Pat Neely""","""Bobby Flay""",0.5698385238647461
"""Pat Neely""","""McDonald's""",0.5691604614257812
"""Pat Neely""","""On The Border""",0.5658960342407227
"""Pat Neely""","""Domino's Australia""",0.5655134320259094
"""La Griglia""","""Peohe's""",0.5795853734016418
"""La Griglia""","""Roy's Restaurant""",0.5770899057388306
"""La Griglia""","""Colin Fassnidge""",0.5769072771072388
"""La Griglia""","""Roblé""",0.5761855244636536
"""La Griglia""","""Martín Berasategui""",0.5760527849197388
"""La Griglia""","""McDonald's Vietnam""",0.5730165839195251
"""La Griglia""","""Magnum""",0.5722572803497314
"""La Griglia""","""Ken Oringer""",0.5717446804046631
"""La Griglia""","""Ignacio Mattos""",0.5713273882865906
"""La Griglia""","""タコベル ジャパン　Taco Bell Japan""",0.5655966997146606
"""Jose Garces""","""Jumia Food""",0.6172564029693604
"""Jose Garces""","""Cadillac Bar Houston""",0.6018521785736084
"""Jose Garces""","""McDonald's""",0.5994411706924438
"""Jose Garces""","""KFC""",0.5736693143844604
"""Jose Garces""","""Anis Nabilah""",0.5713379383087158
"""Jose Garces""","""Domino's Pizza""",0.5675889253616333
"""Jose Garces""","""McDonald's""",0.5663995742797852
"""Jose Garces""","""KFC""",0.5661912560462952
"""Jose Garces""","""foodpanda - 空腹熊貓""",0.5660618543624878
"""Jose Garces""","""Logan Junior Chef""",0.5651314854621887
"""Zac Kara""","""Julia Child""",0.6079354882240295
"""Zac Kara""","""Los Petersen Cocineros""",0.6012601256370544
"""Zac Kara""","""Colin Fassnidge""",0.5976430177688599
"""Zac Kara""","""Thierry Rautureau""",0.5953007936477661
"""Zac Kara""","""Olive Garden México""",0.5947739481925964
"""Zac Kara""","""Eric Ripert""",0.5863934755325317
"""Zac Kara""","""Kevin Dundon""",0.5759527683258057
"""Zac Kara""","""McDonald's""",0.5718846321105957
"""Zac Kara""","""Chef Sam Talbot""",0.5682162046432495
"""Zac Kara""","""Chef Elizabeth Falkner""",0.5678172707557678
"""Big Fish Seafood Bistro""","""Cuoco Filippo La Mantia""",0.5961456298828125
"""Big Fish Seafood Bistro""","""McDonald's""",0.5914371013641357
"""Big Fish Seafood Bistro""","""ad hoc & addendum""",0.5899384617805481
"""Big Fish Seafood Bistro""","""Nando's""",0.580134391784668
"""Big Fish Seafood Bistro""","""Alessandro Borghese""",0.5794148445129395
"""Big Fish Seafood Bistro""","""Nando's""",0.5784677267074585
"""Big Fish Seafood Bistro""","""Paul Qui""",0.5764107704162598
"""Big Fish Seafood Bistro""","""Fabio Viviani""",0.5710722208023071
